Year,Month,Day,Site,Plot,Observer,SurveyType,TransectLevel,TransectLength.m,TransectWidth.m,TimeStart,TimeEnd,10mSection,ShoreDirection,HorizViz(m),VertViz(m),Depth.ft,Depth.m,Substrate1,Substrate2,KelpCover,Habitat,Species,Sex,Size.mm,Size.cm,Count,Behaviour,AbaloneCover,AbaloneSubstrate,Notes
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Parastichopus,,,,2,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Triopha,,,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,4.5,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,6,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,5,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,5.5,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,5,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,6,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,3.5,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,6,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,2.5,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,green.urchin,,,4.5,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,90,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,52,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,42,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,32,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,84,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,57,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,110,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,90,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,111,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,ab.shell,,50,,1,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,red.turban,,,,112,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,leafy.hornmouth,,,,4,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Leopard,,,,7,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Patiria,,,,6,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Cucumaria,,,,91,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Crassadoma,,,,28,,,,
2017,Sep,8,Murchison NW,1,OP,invert,mid,30,1,18:01,18:12,,,,,,,,,NKC,UB,Urticina sp,,,,2,,,,
2017,Sep,8,Murchison NW,1,BP,invert,deep,30,1,,,,,,,39,,,,NKC,UB,Orthasterias,,,,2,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,deep,30,1,,,,,,,39,,,,NKC,UB,Parastichopus,,,,4,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,deep,30,1,,,,,,,39,,,,NKC,UB,Crassadoma,,,,8,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,deep,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,,,5,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,deep,30,1,,,,,,,39,,,,NKC,UB,ab.shell,,58,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,deep,30,1,,,,,,,39,,,,NKC,UB,Patiria,,,,2,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,Dermasterias,,,,2,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,Orthasterias,,,,2,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,Parastichopus,,,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,Crassadoma,,,,17,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,35,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,33,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,37,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,49,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,30,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,35,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,50,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,green.urchin,,39,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,ab.shell,,55,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,ab.shell,,45,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,ab.shell,,50,,1,,,,Did not count cucumaria along this transect
2017,Sep,8,Murchison NW,1,BP,invert,mid,30,1,,,,,,,39,,,,NKC,UB,Patiria,,2,,1,,,,Did not count cucumaria along this transect
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Dermasterias,,,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Orthasterias,,,,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Henricia,,,,2,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Cryptochiton,,,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Crassadoma,,,,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,ab.shell,,75,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,ab.shell,,48,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,ab.shell,,54,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,ab.shell,,65,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,ab.shell,,55,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,ab.shell,,20,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,ab.shell,,20,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Ceratostoma,,,,2,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Dorid,,,,4,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Patiria,,,,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Diadora,,,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,green.urchin,,,2.5,6,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,green.urchin,,,3,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,green.urchin,,,4,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,green.urchin,,,4.5,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,green.urchin,,,5,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,deep,30,1,11:16,11:24,,,,,,,,,NKC,UB,Cucumaria,,,,183,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,Dermasterias,,,,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,Orthasterias,,,,6,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,Mediaster,,,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,Cryptochiton,,,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,Crassadoma,,,,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,red.turban,,,,2,,,,
